frame,x1,y1,x2,y2,confidence,class_id,class_name
0,1387,564,1784,946,0.6940481066703796,2,box
1,1382,589,1786,957,0.6913955807685852,2,box
1,3560,938,3836,1363,0.6133301258087158,2,box
2,1393,607,1791,967,0.6833510994911194,2,box
2,956,635,1276,846,0.6379059553146362,2,box
3,1382,624,1788,983,0.7326706647872925,2,box
3,952,631,1270,856,0.6842623949050903,2,box
3,3550,967,3830,1376,0.601422131061554,2,box
4,1387,651,1788,1005,0.7353891730308533,2,box
4,939,650,1278,860,0.6576130390167236,2,box
4,3549,980,3833,1371,0.6489918231964111,2,box
5,1396,652,1785,1007,0.7509616613388062,2,box
5,932,651,1281,861,0.6722460389137268,2,box
5,3544,976,3833,1368,0.6199904084205627,2,box
6,1404,651,1786,1005,0.7361354827880859,2,box
6,934,660,1277,863,0.6569969654083252,2,box
7,1393,662,1770,1008,0.7432852983474731,2,box
7,918,621,1271,861,0.6196041107177734,2,box
8,1404,654,1777,1008,0.7523062825202942,2,box
8,3478,996,3840,1383,0.6809852719306946,2,box
8,3531,1318,3829,1729,0.6005885004997253,2,box
9,1401,658,1784,1011,0.7472013831138611,2,box
9,3479,1002,3840,1385,0.676000714302063,2,box
9,3523,1331,3825,1715,0.6011936068534851,2,box
10,1389,651,1789,1017,0.7360040545463562,2,box
10,3487,1001,3840,1383,0.7259280681610107,2,box
10,3512,1336,3826,1702,0.6189666390419006,2,box
11,1381,621,1811,1006,0.7345995306968689,2,box
11,3479,998,3840,1388,0.7263798713684082,2,box
11,3508,1339,3823,1699,0.6708482503890991,2,box
12,3472,1000,3840,1393,0.7476831078529358,2,box
12,1390,597,1819,1006,0.6978448033332825,2,box
12,3496,1340,3823,1705,0.6685481071472168,2,box
13,3473,1016,3836,1391,0.7522566914558411,2,box
13,1391,624,1815,990,0.7239248156547546,2,box
13,3496,1352,3821,1702,0.6808165311813354,2,box
14,1390,637,1810,979,0.7535021305084229,2,box
14,3464,1006,3834,1390,0.7447046637535095,2,box
14,3485,1352,3818,1704,0.6583688259124756,2,box
15,3457,1008,3832,1390,0.7427526712417603,2,box
15,1387,638,1800,983,0.7375486493110657,2,box
15,3482,1351,3818,1708,0.6452232599258423,2,box
15,855,593,1197,862,0.6038065552711487,2,box
16,1386,641,1798,987,0.7340537309646606,2,box
16,3451,1010,3827,1388,0.732109546661377,2,box
16,833,588,1199,870,0.6497642397880554,2,box
16,3476,1358,3819,1713,0.649048924446106,2,box
17,3453,1010,3828,1377,0.7548096776008606,2,box
17,1380,646,1800,999,0.7386648654937744,2,box
17,825,584,1196,869,0.6382989287376404,2,box
17,3467,1357,3833,1703,0.6100545525550842,2,box
18,1388,651,1790,1007,0.7536822557449341,2,box
18,3448,1014,3827,1383,0.7500740885734558,2,box
18,3468,1366,3814,1708,0.6541342735290527,2,box
19,3446,1014,3826,1382,0.7594267129898071,2,box
19,1381,655,1793,1017,0.7388563752174377,2,box
19,3472,1370,3820,1709,0.6824225783348083,2,box
20,3439,1024,3827,1386,0.7825773358345032,2,box
20,3464,1369,3832,1709,0.7540122270584106,2,box
20,1378,648,1782,1025,0.7204807996749878,2,box
21,3428,1014,3831,1392,0.7570812106132507,2,box
21,1352,664,1791,1021,0.7451792359352112,2,box
21,3452,1372,3825,1719,0.6615405678749084,2,box
21,820,573,1175,891,0.6542655229568481,2,box
22,3419,1009,3836,1394,0.7745486497879028,2,box
22,1342,654,1778,1023,0.7305717468261719,2,box
22,3446,1366,3826,1713,0.6942349076271057,2,box
23,3414,1012,3836,1395,0.7976580262184143,2,box
23,3445,1370,3829,1715,0.7136653065681458,2,box
23,1336,643,1765,1025,0.7118067741394043,2,box
24,3411,1019,3837,1395,0.7940458059310913,2,box
24,1310,616,1764,1029,0.7014955878257751,2,box
24,3436,1366,3824,1716,0.679813802242279,2,box
24,3421,1638,3816,2032,0.6402456164360046,2,box
25,3397,1015,3833,1397,0.7937065362930298,2,box
25,3419,1359,3810,1714,0.6564120054244995,2,box
25,3413,1643,3794,2032,0.643563449382782,2,box
25,1307,607,1765,1016,0.6103365421295166,2,box
26,3394,1016,3840,1399,0.8105028867721558,2,box
26,3417,1357,3828,1723,0.6990165114402771,2,box
26,1281,602,1760,1028,0.6230093240737915,2,box
26,3399,1628,3794,2029,0.6179157495498657,2,box
27,3395,1021,3840,1393,0.805400013923645,2,box
27,3412,1354,3838,1721,0.687784731388092,2,box
28,3391,1019,3840,1396,0.7923903465270996,2,box
28,3393,1345,3831,1723,0.671880304813385,2,box
29,3379,1006,3840,1397,0.7994847893714905,2,box
29,3397,1343,3836,1730,0.6670629382133484,2,box
30,3370,1001,3840,1399,0.8018900752067566,2,box
30,3392,1345,3834,1730,0.6727057099342346,2,box
30,1275,577,1756,969,0.6270034909248352,2,box
31,3366,1008,3840,1398,0.7950226068496704,2,box
31,1274,602,1763,973,0.678911566734314,2,box
31,3390,1349,3837,1732,0.6718419790267944,2,box
32,3367,1010,3840,1401,0.7949770092964172,2,box
32,3385,1346,3833,1735,0.6867508292198181,2,box
32,1275,629,1747,1010,0.6033049821853638,2,box
33,3359,1011,3840,1406,0.7731577157974243,2,box
33,3374,1345,3830,1727,0.6746717691421509,2,box
33,1282,633,1756,1020,0.6560490131378174,2,box
33,3349,1629,3760,2029,0.6137366890907288,2,box
34,3350,1012,3840,1408,0.779613196849823,2,box
34,3376,1345,3836,1739,0.7067275047302246,2,box
34,1279,639,1790,1020,0.6718527674674988,2,box
35,3344,1010,3840,1411,0.7729034423828125,2,box
35,3374,1349,3835,1740,0.7366148829460144,2,box
35,1268,601,1785,1022,0.6818791031837463,2,box
36,3348,1015,3840,1406,0.7842234373092651,2,box
36,3362,1342,3831,1735,0.7167552709579468,2,box
36,1286,612,1778,1026,0.7160459756851196,2,box
37,3329,1008,3840,1406,0.7526442408561707,2,box
37,3354,1335,3829,1730,0.7033769488334656,2,box
37,1288,592,1762,1036,0.633700430393219,2,box
37,3331,1631,3727,2024,0.6117404103279114,2,box
38,3313,1006,3835,1408,0.746626615524292,2,box
38,3354,1337,3829,1751,0.7069953680038452,2,box
38,1292,568,1748,1035,0.6438852548599243,2,box
39,3306,1009,3834,1405,0.7803019285202026,2,box
39,3348,1334,3833,1755,0.7130970358848572,2,box
39,1279,622,1759,1020,0.6863416433334351,2,box
40,3282,1015,3818,1400,0.7680960893630981,2,box
40,1283,575,1750,1015,0.6991129517555237,2,box
40,3334,1327,3832,1762,0.6848462224006653,2,box
41,3276,1012,3815,1403,0.7919411063194275,2,box
41,3325,1327,3829,1752,0.7023285627365112,2,box
41,1266,550,1764,1015,0.6305673122406006,2,box
42,3272,1013,3807,1402,0.7914032340049744,2,box
42,3309,1331,3824,1745,0.6971475481987,2,box
42,1262,502,1772,1026,0.6376274228096008,2,box
43,3271,1016,3812,1401,0.7785540223121643,2,box
43,3289,1332,3816,1737,0.6801326274871826,2,box
43,1254,505,1766,982,0.6057592034339905,2,box
44,3265,1003,3814,1405,0.780646800994873,2,box
44,3285,1335,3816,1741,0.6648677587509155,2,box
44,1259,487,1755,968,0.6565227508544922,2,box
45,3258,995,3817,1410,0.7592218518257141,2,box
45,3276,1340,3813,1744,0.6469120979309082,2,box
45,1246,475,1763,986,0.6358134746551514,2,box
46,3253,1005,3792,1407,0.7476599812507629,2,box
46,3272,1348,3809,1755,0.6267580986022949,2,box
47,3250,1009,3786,1405,0.7387192249298096,2,box
48,3241,1015,3774,1404,0.7582584619522095,2,box
49,3230,1026,3758,1391,0.7258777022361755,2,box
49,3254,1352,3782,1754,0.6032909154891968,2,box
50,3229,1028,3760,1392,0.7514950037002563,2,box
50,3241,1351,3773,1738,0.6271434426307678,2,box
51,3232,1026,3764,1396,0.7629730701446533,2,box
52,3224,1029,3768,1396,0.7557059526443481,2,box
53,3199,1020,3752,1398,0.7335063815116882,2,box
53,1233,620,1791,1030,0.6323608160018921,2,box
53,3237,1352,3760,1782,0.6017591953277588,2,box
54,3187,1018,3718,1396,0.7585156559944153,2,box
54,1216,602,1801,1037,0.6558377146720886,2,box
54,3228,1353,3749,1766,0.6089550256729126,2,box
55,3177,1019,3716,1400,0.7734540700912476,2,box
55,1199,572,1803,1041,0.6358880400657654,2,box
56,3180,1020,3725,1398,0.7743883728981018,2,box
56,3207,1351,3771,1747,0.6473143100738525,2,box
56,1218,565,1792,1035,0.6029382944107056,2,box
57,3182,1021,3719,1398,0.7765935063362122,2,box
57,3191,1350,3779,1742,0.6122696995735168,2,box
58,3156,1017,3716,1405,0.7577139735221863,2,box
59,3149,1018,3700,1402,0.7548182606697083,2,box
60,3135,1016,3699,1405,0.6885673999786377,2,box
60,1219,610,1827,1035,0.6453205347061157,2,box
61,1236,616,1823,1040,0.7143157124519348,2,box
61,3092,1017,3703,1412,0.6327476501464844,2,box
62,3125,1016,3681,1407,0.7226577401161194,2,box
62,1226,620,1829,1049,0.6299077868461609,2,box
63,3117,1019,3676,1405,0.698214054107666,2,box
63,1235,610,1827,1055,0.654037356376648,2,box
64,1240,629,1828,1058,0.7053693532943726,2,box
64,3094,1013,3680,1409,0.6776056289672852,2,box
65,1264,643,1829,1067,0.7233167886734009,2,box
65,3095,1014,3654,1407,0.694989800453186,2,box
65,2025,791,2470,1105,0.6679486632347107,2,box
66,3079,1013,3653,1407,0.7234911322593689,2,box
66,1268,660,1832,1073,0.6716242432594299,2,box
66,2013,790,2477,1097,0.6708155274391174,2,box
67,3076,1013,3633,1409,0.7514816522598267,2,box
67,1276,672,1843,1079,0.6576899886131287,2,box
68,3064,1005,3636,1408,0.701511800289154,2,box
68,1275,642,1829,1073,0.678959310054779,2,box
69,1228,606,1843,1077,0.6810595989227295,2,box
69,3044,1005,3607,1410,0.6283970475196838,2,box
70,1245,619,1841,1056,0.7192851901054382,2,box
70,3043,1009,3557,1408,0.6283549666404724,2,box
71,1264,619,1821,1055,0.7518057823181152,2,box
71,3031,1013,3522,1404,0.6260481476783752,2,box
72,1270,601,1818,1061,0.7252005934715271,2,box
72,3025,1017,3530,1409,0.6044538617134094,2,box
